end_station_name,casual_user,member_user
Eastlake Ter & Rogers Ave,675,1114
Western Ave & Monroe St,674,1419
Avondale Ave & Irving Park Rd,673,797
Malcolm X College Vaccination Site,665,705
Monticello Ave & Irving Park Rd,663,675
Indiana Ave & 31st St,660,2929
Hermitage Ave & Polk St,653,4609
Kedzie Ave & Leland Ave,646,950
Cottage Grove Ave & 51st St,630,666
Emerald Ave & 28th St,627,2003
Cherry Ave & Blackhawk St,619,1427
Shields Ave & 31st St,583,3254
Western Ave & 21st St,581,837
Rockwell St & Fletcher St,580,501
MLK Jr Dr & Pershing Rd,572,532
Western Ave & Granville Ave,556,718
Cottage Grove Ave & 63rd St,554,549
South Shore Dr & 71st St,550,816
Kedzie Ave & Foster Ave,544,558
Halsted St & North Branch St,543,1151
Cottage Grove Ave & 47th St,543,773
Warren Park West,542,575
Wallace St & 35th St,538,1274
Loomis St & Archer Ave,535,840
Prairie Ave & Garfield Blvd,534,651
Calumet Ave & 35th St,519,1791
Drake Ave & Montrose Ave,519,818
Manor Ave & Leland Ave,518,1234
Drake Ave & Addison St,514,600
Woodlawn Ave & Lake Park Ave,513,738
Ashland Ave & 13th St,499,2945
63rd St Beach,495,375
Glenwood Ave & Touhy Ave,493,1416
Ogden Ave & Roosevelt Rd,492,1229
California Ave & 21st St,490,675
South Shore Dr & 67th St,490,508
Evanston Civic Center,485,628
Shields Ave & 28th Pl,484,2033
Bernard St & Elston Ave,481,1120
Budlong Woods Library,472,535
Broadway & Wilson Ave,470,1089
Central St Metra,469,677
Kedzie Ave & Chicago Ave,465,442
Sawyer Ave & Irving Park Rd,453,543
Conservatory Dr & Lake St,453,287
Elston Ave & George St,451,483
Western Ave & Lunt Ave,447,1002
Dorchester Ave & 63rd St,447,259
Kedzie Ave & Bryn Mawr Ave,446,578
N Sheffield Ave & W Wellington Ave,446,553
Wood St & Webster Ave,444,493
Keystone Ave & Montrose Ave,443,518
N Carpenter St & W Lake St,435,1233
Racine Ave & 13th St,431,482
Knox Ave & Montrose Ave,425,462
Clark St & Touhy Ave,424,495
Central St & Girard Ave,421,694
Elmwood Ave & Austin St,413,656
Racine Ave & 35th St,410,742
Leavitt St & Archer Ave,408,322
Western Ave & Howard St,403,636
Cottage Grove Ave & 43rd St,402,748
Prairie Ave & 43rd St,401,338
Wood St & 35th St,393,427
Clinton St & Polk St,392,725
Burnham Greenway & 112th St,385,104
Washtenaw Ave & Ogden Ave,384,534
Milwaukee Ave & Cuyler Ave,375,309
2112 W Peterson Ave,374,540
Dorchester Ave & 49th St,372,535
Central Park Ave & Ogden Ave,369,282
Ashland Ave & Archer Ave,367,768
California Ave & Lake St,366,357
Pulaski Rd & Eddy St (Temp),366,252
Warren Park East,364,601
Valli Produce - Evanston Plaza,361,378
Troy St & Grace St,358,244
Jeffery Blvd & 67th St,355,135
Maplewood Ave & Peterson Ave,349,363
Calumet Ave & 51st St,346,457
DuSable Museum,339,687
Francisco Ave & Montrose Ave,339,400
Western Ave & Grace St,338,370
MLK Jr Dr & 47th St,326,190
St. Louis Ave & Balmoral Ave,325,443
Damen Ave & Coulter St,319,421
Normal Ave & Archer Ave,317,775
Western Ave & 24th St,315,629
Ridge Blvd & Touhy Ave,306,378
Elizabeth St & Fulton St,305,714
Long & Irving Park,305,211
Dodge Ave & Church St,304,575
N Southport Ave & W Newport Ave,299,327
Lincolnwood Dr & Central St,295,299
State St & 95th St,295,181
Sacramento Blvd & Addison St,293,173
Jeffery Blvd & 71st St,292,202
State St & 29th St,288,861
Kedzie Ave & Lake St,286,378
Narragansett & Wrightwood,286,189
Stony Island Ave & 67th St,286,96
Kildare Ave & Montrose Ave,284,455
Kedzie Ave & 48th Pl,281,139
N Shore Channel Trail & Argyle St,280,233
Kedzie Ave & 21st St,280,145
Oakley Ave & Touhy Ave,279,323
Eberhart Ave & 61st St,263,195
Fairfield Ave & Roosevelt Rd,262,239
Austin Blvd & Lake St,259,188
Stony Island Ave & 64th St,255,118
Clark St & Jarvis Ave,253,733
Dodge Ave & Mulford St,252,196
Millard Ave & 26th St,252,185
Ridge Blvd & Howard St,246,439
Princeton Ave & 47th St,242,270
Stony Island Ave & 71st St,239,94
Harlem & Irving Park,238,82
Halsted St & 37th St,236,295
Indiana Ave & 40th St,233,85
Kedzie Ave & Roosevelt Rd,229,71
Dodge Ave & Main St,228,282
Hoyne Ave & 47th St,228,109
MLK Jr Dr & 63rd St,225,170
California Ave & 23rd Pl,222,341
Pulaski Rd & 51st St,221,269
Western Blvd & 48th Pl,220,75
Elston Ave & Henderson St,219,219
State St & 79th St,219,178
Wentworth Ave & 63rd St,214,83
Damen Ave & Pershing Rd,211,214
Albany Ave & 26th St,211,105
Calumet Park,211,66
South Shore Dr & 74th St,210,248
Bosworth Ave & Howard St,208,590
Whipple/Irving Park,208,135
Kedzie Ave & George St,206,357
Archer (Damen) Ave & 37th St,206,272
Burnham Greenway & 105th St,203,37
Western Ave & Gunnison St,198,267
Central Park Ave & 24th St,197,141
Union Ave & Root St,190,229
Kilbourn Ave & Irving Park Rd,190,196
Damen Ave & 59th St,190,21
Lincoln Ave & Balmoral Ave,188,271
Lawler Ave & 50th St,183,75
Washtenaw Ave & Polk St,182,205
Rockwell St & Cermak Rd,180,290
MLK Jr Dr & 56th St,180,79
Big Marsh Park,179,55
Francisco Ave & Bloomingdale Ave,174,251
Cottage Grove Ave & 67th St,174,157
N Paulina St & Lincoln Ave,173,305
Halsted St & 47th Pl,173,289
Stony Island Ave & 75th St,172,150
Wabash Ave & 87th St,171,175
Albany Ave & Belmont Ave,171,138
Perry Ave & 69th St,170,66
Central Ave & Chicago Ave,169,239
Western Ave & Berteau Ave,169,189
Wolcott Ave & Fargo Ave,167,256
Kilbourn Ave & Milwaukee Ave,166,195
Shields Ave & 43rd St,164,82
Commercial Ave & 130th St,164,23
Ashland Ave & McDowell Ave,163,259
Lamon Ave & Belmont Ave,163,132
Kedzie Ave & 24th St,163,92
Kedzie Ave & 57th St,163,86
Yates Blvd & 75th St,161,99
Kilbourn & Roscoe,160,128
Phillips Ave & 79th St,159,132
Vernon Ave & 79th St,157,28
Cottage Grove Ave & 83rd St,156,190
Marshfield Ave & 44th St,156,169
Princeton Ave & Garfield Blvd,155,159
Kilpatrick Ave & Parker Ave,151,169
Halsted St & 51st St,151,169
Sacramento Blvd & Franklin Blvd,148,255
Walden Pkwy & 100th St,147,41
Western Ave & 111th St,146,58
Public Rack - Milwaukee Ave & Diversey Ave,144,194
Lincoln Ave & Peterson Ave,144,182
Hale Ave & 107th St,144,35
Lawndale Ave & 111th St,142,22
Cottage Grove Ave & 71st St,141,64
Western Ave & 104th St,139,60
Racine Ave & Garfield Blvd,139,59
Prospect Sq & 91st St,138,43
Lavergne & Fullerton,136,98
Rainbow Beach,131,84
Rockwell St & Archer Ave,131,73
Kenosha & Wellington,130,96
Sayre & Diversey,130,70
Francisco Ave & 47th St,129,13
W Washington Blvd & N Peoria St,127,197
Kilpatrick Ave & Grand Ave,127,38
Narragansett & Irving Park,126,191
Austin Blvd & Chicago Ave,126,112
Stewart Ave & 63rd St,125,44
Seeley Ave & Garfield Blvd,125,13
Malcolm X College,124,209
Komensky Ave & 31st St,124,156
Halsted & 63rd - Kennedy-King Vaccination Site,124,76
Kostner Ave & Wrightwood Ave,124,60
Latrobe Ave & Chicago Ave,124,54
St Louis Ave & 59th St,124,20
Campbell Ave & Irving Park Rd,121,147
Stony Island Ave & 90th St,121,24
Austin Blvd & Madison St,120,104
Halsted St & 78th St,120,46
Commercial Ave & 83rd St,117,58
Pulaski Rd & 21st St,115,104
Jeffery Blvd & 76th St,114,55
Central Ave & Lake St,112,67
Cornell Dr & Hayes Dr,111,79
Sacramento Ave & Pershing Rd,111,45
Dauphin Ave & 103rd St,109,32
Chicago State University,108,216
Vernon Ave & 75th St,107,37
Public Rack - California Ave & Cortez St,106,67
Baltimore Ave & 87th St,105,46
Cicero Ave & Lake St,105,12
Lockwood Ave & Wrightwood Ave,104,203
Komensky Ave & 55th St,103,51
Kilbourn & Belden,103,36
Houston Ave & 92nd St,102,50
California Ave & 26th St,101,281
Public Rack - Christiana Ave & Belmont Ave,101,58
Narragansett Ave & School St,101,34
Pulaski Rd & Lake St,101,23
Ellis Ave & 83rd St,99,41
Marquette Ave & 89th St,99,38
N Damen Ave & W Chicago Ave,96,83
Central Ave & Harrison St,95,28
Central Park Blvd & 5th Ave,94,43
